month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,Area sqft,lease_commence_date,Year,remaining_lease,resale_price,Price psf,precinct
1990-01,TOA PAYOH,3 ROOM,225,LOR 8 TOA PAYOH,07 TO 09,65,IMPROVED,700,1976,1990,85,38500,55,Toa Payoh Eight
1990-01,TOA PAYOH,3 ROOM,232,LOR 8 TOA PAYOH,07 TO 09,76,IMPROVED,818,1976,1990,85,37000,45.2322738386308,Toa Payoh Eight
1990-01,TOA PAYOH,3 ROOM,115,LOR 1 TOA PAYOH,01 TO 03,65,IMPROVED,700,1967,1990,76,37000,52.8571428571429,Toa Payoh North
1990-01,TOA PAYOH,3 ROOM,114,LOR 1 TOA PAYOH,07 TO 09,65,IMPROVED,700,1967,1990,76,40000,57.1428571428571,Toa Payoh North
1990-01,TOA PAYOH,3 ROOM,113,LOR 1 TOA PAYOH,04 TO 06,65,IMPROVED,700,1967,1990,76,30000,42.8571428571429,Toa Payoh North
1990-01,TOA PAYOH,3 ROOM,53,LOR 5 TOA PAYOH,04 TO 06,68,IMPROVED,732,1968,1990,77,32000,43.7158469945355,Toa Payoh Vista
1990-01,TOA PAYOH,3 ROOM,100,LOR 1 TOA PAYOH,10 TO 12,68,IMPROVED,732,1970,1990,79,32000,43.7158469945355,Toa Payoh Palm Spring
1990-01,TOA PAYOH,3 ROOM,100,LOR 1 TOA PAYOH,16 TO 18,68,IMPROVED,732,1970,1990,79,40000,54.6448087431694,Toa Payoh Palm Spring
1990-01,TOA PAYOH,3 ROOM,100,LOR 1 TOA PAYOH,01 TO 03,68,IMPROVED,732,1970,1990,79,39700,54.2349726775956,Toa Payoh Palm Spring
1990-01,TOA PAYOH,3 ROOM,98,LOR 1 TOA PAYOH,07 TO 09,68,IMPROVED,732,1970,1990,79,40200,54.9180327868853,Toa Payoh Palm Spring
1990-01,TOA PAYOH,3 ROOM,91,LOR 3 TOA PAYOH,04 TO 06,68,IMPROVED,732,1970,1990,79,31000,42.3497267759563,Toa Payoh Palm Spring
1990-01,TOA PAYOH,3 ROOM,2,LOR 7 TOA PAYOH,04 TO 06,67,IMPROVED,721,1969,1990,78,42000,58.252427184466,Kim Keat Court
1990-01,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,10 TO 12,67,IMPROVED,721,1969,1990,78,40000,55.4785020804438,Kim Keat Court
1990-01,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,01 TO 03,67,IMPROVED,721,1969,1990,78,40000,55.4785020804438,Kim Keat Court
1990-01,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,07 TO 09,67,IMPROVED,721,1969,1990,78,40200,55.7558945908461,Kim Keat Court
1990-01,TOA PAYOH,3 ROOM,166,LOR 1 TOA PAYOH,07 TO 09,60,IMPROVED,646,1969,1990,78,29000,44.8916408668731,None
1990-01,TOA PAYOH,3 ROOM,126,LOR 1 TOA PAYOH,01 TO 03,67,IMPROVED,721,1970,1990,79,35000,48.5436893203884,Toa Payoh View
1990-01,TOA PAYOH,3 ROOM,128,LOR 1 TOA PAYOH,01 TO 03,67,IMPROVED,721,1970,1990,79,36000,49.9306518723994,Toa Payoh View
1990-01,TOA PAYOH,3 ROOM,128,LOR 1 TOA PAYOH,10 TO 12,67,IMPROVED,721,1970,1990,79,39000,54.0915395284327,Toa Payoh View
1990-01,TOA PAYOH,3 ROOM,116,LOR 2 TOA PAYOH,13 TO 15,63,IMPROVED,678,1970,1990,79,40000,58.9970501474926,Toa Payoh View
1990-01,TOA PAYOH,3 ROOM,30,LOR 5 TOA PAYOH,10 TO 12,60,IMPROVED,646,1970,1990,79,40200,62.2291021671827,None
1990-01,TOA PAYOH,3 ROOM,30,LOR 5 TOA PAYOH,04 TO 06,60,IMPROVED,646,1970,1990,79,29000,44.8916408668731,None
1990-01,TOA PAYOH,3 ROOM,9,LOR 7 TOA PAYOH,01 TO 03,66,IMPROVED,710,1970,1990,79,38000,53.5211267605634,Toa Payoh Court
1990-01,TOA PAYOH,3 ROOM,23,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1970,1990,79,34000,47.1567267683773,Kim Keat Palm
1990-01,TOA PAYOH,3 ROOM,23,TOA PAYOH EAST,04 TO 06,67,IMPROVED,721,1970,1990,79,36000,49.9306518723994,Kim Keat Palm
1990-01,TOA PAYOH,3 ROOM,12,LOR 7 TOA PAYOH,07 TO 09,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh Court
1990-01,TOA PAYOH,3 ROOM,13,LOR 7 TOA PAYOH,01 TO 03,66,IMPROVED,710,1970,1990,79,39000,54.9295774647887,Toa Payoh Court
1990-01,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,28600,39.6671289875173,Toa Payoh East
1990-01,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,04 TO 06,67,IMPROVED,721,1971,1990,80,40200,55.7558945908461,Toa Payoh East
1990-01,TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,10 TO 12,67,IMPROVED,721,1971,1990,80,38000,52.7045769764216,Toa Payoh East
1990-01,TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,01 TO 03,67,IMPROVED,721,1971,1990,80,37000,51.3176144244105,Toa Payoh East
1990-01,TOA PAYOH,3 ROOM,27,TOA PAYOH EAST,01 TO 03,67,IMPROVED,721,1971,1990,80,36500,50.624133148405,Toa Payoh East
1990-01,TOA PAYOH,3 ROOM,17,LOR 7 TOA PAYOH,04 TO 06,67,IMPROVED,721,1971,1990,80,38900,53.9528432732316,Kim Keat Palm
1990-01,TOA PAYOH,3 ROOM,85A,LOR 4 TOA PAYOH,13 TO 15,68,IMPROVED,732,1972,1990,81,40000,54.6448087431694,Toa Payoh Eighties
1990-01,TOA PAYOH,3 ROOM,85B,LOR 4 TOA PAYOH,04 TO 06,68,IMPROVED,732,1972,1990,81,32000,43.7158469945355,Toa Payoh Eighties
1990-01,TOA PAYOH,3 ROOM,159,LOR 1 TOA PAYOH,07 TO 09,65,IMPROVED,700,1972,1990,81,37800,54,Toa Payoh Green
1990-01,TOA PAYOH,3 ROOM,159,LOR 1 TOA PAYOH,10 TO 12,65,IMPROVED,700,1972,1990,81,36000,51.4285714285714,Toa Payoh Green
1990-01,TOA PAYOH,3 ROOM,177,TOA PAYOH CTRL,01 TO 03,67,IMPROVED,721,1972,1990,81,49000,67.9611650485437,Toa Payoh Central
1990-01,TOA PAYOH,3 ROOM,163,LOR 1 TOA PAYOH,01 TO 03,65,IMPROVED,700,1972,1990,81,40000,57.1428571428571,Toa Payoh Green
1990-01,TOA PAYOH,3 ROOM,168,LOR 1 TOA PAYOH,04 TO 06,65,IMPROVED,700,1972,1990,81,40000,57.1428571428571,Toa Payoh Green
1990-01,TOA PAYOH,3 ROOM,169,LOR 1 TOA PAYOH,10 TO 12,65,IMPROVED,700,1972,1990,81,40000,57.1428571428571,Toa Payoh Green
1990-01,TOA PAYOH,3 ROOM,173,LOR 1 TOA PAYOH,04 TO 06,77,IMPROVED,829,1972,1990,81,40000,48.2509047044632,Toa Payoh Green
1990-01,TOA PAYOH,3 ROOM,206,TOA PAYOH NTH,01 TO 03,65,IMPROVED,700,1973,1990,82,36900,52.7142857142857,Toa Payoh North
1990-01,TOA PAYOH,3 ROOM,206,TOA PAYOH NTH,07 TO 09,65,IMPROVED,700,1973,1990,82,42500,60.7142857142857,Toa Payoh North
1990-01,TOA PAYOH,3 ROOM,95,LOR 4 TOA PAYOH,04 TO 06,60,STANDARD,646,1967,1990,76,21500,33.28173374613,Toa Payoh Palm Spring
1990-01,TOA PAYOH,3 ROOM,59,LOR 5 TOA PAYOH,07 TO 09,61,STANDARD,657,1973,1990,82,23000,35.0076103500761,Toa Payoh Vista
1990-01,TOA PAYOH,3 ROOM,69,LOR 4 TOA PAYOH,04 TO 06,62,STANDARD,667,1973,1990,82,22000,32.9835082458771,Toa Payoh Vista
1990-01,TOA PAYOH,3 ROOM,73,LOR 4 TOA PAYOH,07 TO 09,72,STANDARD,775,1973,1990,82,23400,30.1935483870968,Toa Payoh Vista
1990-01,TOA PAYOH,3 ROOM,73,LOR 4 TOA PAYOH,01 TO 03,62,STANDARD,667,1973,1990,82,23500,35.232383808096,Toa Payoh Vista
1990-02,TOA PAYOH,3 ROOM,109,LOR 1 TOA PAYOH,07 TO 09,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh North
1990-02,TOA PAYOH,3 ROOM,117,LOR 1 TOA PAYOH,10 TO 12,65,IMPROVED,700,1968,1990,77,34500,49.2857142857143,Toa Payoh View
1990-02,TOA PAYOH,3 ROOM,98,LOR 1 TOA PAYOH,10 TO 12,68,IMPROVED,732,1970,1990,79,29000,39.6174863387978,Toa Payoh Palm Spring
1990-02,TOA PAYOH,3 ROOM,98,LOR 1 TOA PAYOH,10 TO 12,68,IMPROVED,732,1970,1990,79,29000,39.6174863387978,Toa Payoh Palm Spring
1990-02,TOA PAYOH,3 ROOM,96,LOR 3 TOA PAYOH,07 TO 09,68,IMPROVED,732,1970,1990,79,43500,59.4262295081967,Toa Payoh Palm Spring
1990-02,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,04 TO 06,67,IMPROVED,721,1969,1990,78,29000,40.2219140083218,Kim Keat Court
1990-02,TOA PAYOH,3 ROOM,38,LOR 5 TOA PAYOH,01 TO 03,67,IMPROVED,721,1970,1990,79,28600,39.6671289875173,East Payoh Spring
1990-02,TOA PAYOH,3 ROOM,38,LOR 5 TOA PAYOH,07 TO 09,67,IMPROVED,721,1970,1990,79,40200,55.7558945908461,East Payoh Spring
1990-02,TOA PAYOH,3 ROOM,125,LOR 1 TOA PAYOH,10 TO 12,67,IMPROVED,721,1970,1990,79,30000,41.6088765603329,Toa Payoh View
1990-02,TOA PAYOH,3 ROOM,116,LOR 2 TOA PAYOH,19 TO 21,72,IMPROVED,775,1970,1990,79,36000,46.4516129032258,Toa Payoh View
1990-02,TOA PAYOH,3 ROOM,30,LOR 5 TOA PAYOH,07 TO 09,60,IMPROVED,646,1970,1990,79,34000,52.6315789473684,None
1990-02,TOA PAYOH,3 ROOM,8,LOR 7 TOA PAYOH,10 TO 12,66,IMPROVED,710,1970,1990,79,30000,42.2535211267606,Toa Payoh Court
1990-02,TOA PAYOH,3 ROOM,9,LOR 7 TOA PAYOH,07 TO 09,66,IMPROVED,710,1970,1990,79,38000,53.5211267605634,Toa Payoh Court
1990-02,TOA PAYOH,3 ROOM,23,TOA PAYOH EAST,01 TO 03,67,IMPROVED,721,1970,1990,79,37000,51.3176144244105,Kim Keat Palm
1990-02,TOA PAYOH,3 ROOM,12,LOR 7 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,40200,56.6197183098592,Toa Payoh Court
1990-02,TOA PAYOH,3 ROOM,13,LOR 7 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh Court
1990-02,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,40000,55.4785020804438,Toa Payoh East
1990-02,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,10 TO 12,67,IMPROVED,721,1971,1990,80,42000,58.252427184466,Toa Payoh East
1990-02,TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,40000,55.4785020804438,Toa Payoh East
1990-02,TOA PAYOH,3 ROOM,79,TOA PAYOH CTRL,07 TO 09,61,IMPROVED,657,1971,1990,80,40000,60.882800608828,None
1990-02,TOA PAYOH,3 ROOM,157,LOR 1 TOA PAYOH,10 TO 12,67,IMPROVED,721,1971,1990,80,40200,55.7558945908461,Toa Payoh Sapphire
1990-02,TOA PAYOH,3 ROOM,85A,LOR 4 TOA PAYOH,07 TO 09,68,IMPROVED,732,1972,1990,81,36000,49.1803278688525,Toa Payoh Eighties
1990-02,TOA PAYOH,3 ROOM,85B,LOR 4 TOA PAYOH,10 TO 12,68,IMPROVED,732,1972,1990,81,40000,54.6448087431694,Toa Payoh Eighties
1990-02,TOA PAYOH,3 ROOM,85C,LOR 4 TOA PAYOH,19 TO 21,68,IMPROVED,732,1972,1990,81,40000,54.6448087431694,Toa Payoh Eighties
1990-02,TOA PAYOH,3 ROOM,177,TOA PAYOH CTRL,04 TO 06,64,IMPROVED,689,1972,1990,81,34000,49.3468795355588,Toa Payoh Central
1990-02,TOA PAYOH,3 ROOM,174,LOR 1 TOA PAYOH,07 TO 09,65,IMPROVED,700,1972,1990,81,34000,48.5714285714286,Toa Payoh Green
1990-02,TOA PAYOH,3 ROOM,195,KIM KEAT AVE,07 TO 09,66,IMPROVED,710,1973,1990,82,40000,56.3380281690141,Kim Keat View
1990-02,TOA PAYOH,3 ROOM,195,KIM KEAT AVE,07 TO 09,66,IMPROVED,710,1973,1990,82,28600,40.2816901408451,Kim Keat View
1990-02,TOA PAYOH,3 ROOM,66,LOR 4 TOA PAYOH,04 TO 06,64,STANDARD,689,1969,1990,78,23400,33.9622641509434,Toa Payoh Vista
1990-02,TOA PAYOH,3 ROOM,73,LOR 4 TOA PAYOH,01 TO 03,62,STANDARD,667,1973,1990,82,23400,35.0824587706147,Toa Payoh Vista
1990-02,TOA PAYOH,3 ROOM,73,LOR 4 TOA PAYOH,10 TO 12,62,STANDARD,667,1973,1990,82,24000,35.9820089955022,Toa Payoh Vista
1990-03,TOA PAYOH,3 ROOM,235,LOR 8 TOA PAYOH,07 TO 09,65,IMPROVED,700,1976,1990,85,40000,57.1428571428571,Toa Payoh Eight
1990-03,TOA PAYOH,3 ROOM,234,LOR 8 TOA PAYOH,10 TO 12,65,IMPROVED,700,1976,1990,85,31000,44.2857142857143,Toa Payoh Eight
1990-03,TOA PAYOH,3 ROOM,233,LOR 8 TOA PAYOH,04 TO 06,66,IMPROVED,710,1981,1990,90,43000,60.5633802816901,Toa Payoh Eight
1990-03,TOA PAYOH,3 ROOM,111,LOR 1 TOA PAYOH,07 TO 09,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh North
1990-03,TOA PAYOH,3 ROOM,96,LOR 3 TOA PAYOH,13 TO 15,78,IMPROVED,840,1970,1990,79,32000,38.0952380952381,Toa Payoh Palm Spring
1990-03,TOA PAYOH,3 ROOM,96,LOR 3 TOA PAYOH,10 TO 12,68,IMPROVED,732,1970,1990,79,35000,47.8142076502732,Toa Payoh Palm Spring
1990-03,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,01 TO 03,67,IMPROVED,721,1969,1990,78,31500,43.6893203883495,Kim Keat Court
1990-03,TOA PAYOH,3 ROOM,166,LOR 1 TOA PAYOH,01 TO 03,60,IMPROVED,646,1969,1990,78,40000,61.9195046439628,None
1990-03,TOA PAYOH,3 ROOM,166,LOR 1 TOA PAYOH,10 TO 12,60,IMPROVED,646,1969,1990,78,40000,61.9195046439628,None
1990-03,TOA PAYOH,3 ROOM,38,LOR 5 TOA PAYOH,01 TO 03,67,IMPROVED,721,1970,1990,79,38000,52.7045769764216,East Payoh Spring
1990-03,TOA PAYOH,3 ROOM,123,LOR 1 TOA PAYOH,07 TO 09,67,IMPROVED,721,1970,1990,79,41300,57.2815533980583,Toa Payoh View
1990-03,TOA PAYOH,3 ROOM,126,LOR 1 TOA PAYOH,13 TO 15,67,IMPROVED,721,1970,1990,79,40000,55.4785020804438,Toa Payoh View
1990-03,TOA PAYOH,3 ROOM,128,LOR 1 TOA PAYOH,07 TO 09,67,IMPROVED,721,1970,1990,79,40000,55.4785020804438,Toa Payoh View
1990-03,TOA PAYOH,3 ROOM,4,LOR 7 TOA PAYOH,07 TO 09,68.2,IMPROVED,734,1969,1990,78,30000,40.8719346049046,Kim Keat Court
1990-03,TOA PAYOH,3 ROOM,4,LOR 7 TOA PAYOH,04 TO 06,68,IMPROVED,732,1969,1990,78,34400,46.9945355191257,Kim Keat Court
1990-03,TOA PAYOH,3 ROOM,116,LOR 2 TOA PAYOH,13 TO 15,62,IMPROVED,667,1970,1990,79,38000,56.9715142428786,Toa Payoh View
1990-03,TOA PAYOH,3 ROOM,116,LOR 2 TOA PAYOH,04 TO 06,63,IMPROVED,678,1970,1990,79,36000,53.0973451327434,Toa Payoh View
1990-03,TOA PAYOH,3 ROOM,30,LOR 5 TOA PAYOH,07 TO 09,60,IMPROVED,646,1970,1990,79,32500,50.3095975232198,None
1990-03,TOA PAYOH,3 ROOM,8,LOR 7 TOA PAYOH,07 TO 09,66,IMPROVED,710,1970,1990,79,34250,48.2394366197183,Toa Payoh Court
1990-03,TOA PAYOH,3 ROOM,9,LOR 7 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,38000,53.5211267605634,Toa Payoh Court
1990-03,TOA PAYOH,3 ROOM,9,LOR 7 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh Court
1990-03,TOA PAYOH,3 ROOM,12,LOR 7 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,33000,46.4788732394366,Toa Payoh Court
1990-03,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,38000,52.7045769764216,Toa Payoh East
1990-03,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,04 TO 06,67,IMPROVED,721,1971,1990,80,40000,55.4785020804438,Toa Payoh East
1990-03,TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,38800,53.8141470180305,Toa Payoh East
1990-03,TOA PAYOH,3 ROOM,17,LOR 7 TOA PAYOH,07 TO 09,67,IMPROVED,721,1971,1990,80,40000,55.4785020804438,Kim Keat Palm
1990-03,TOA PAYOH,3 ROOM,17,LOR 7 TOA PAYOH,04 TO 06,67,IMPROVED,721,1971,1990,80,33000,45.7697642163662,Kim Keat Palm
1990-03,TOA PAYOH,3 ROOM,85A,LOR 4 TOA PAYOH,13 TO 15,78,IMPROVED,840,1972,1990,81,44000,52.3809523809524,Toa Payoh Eighties
1990-03,TOA PAYOH,3 ROOM,85A,LOR 4 TOA PAYOH,13 TO 15,68,IMPROVED,732,1972,1990,81,40200,54.9180327868853,Toa Payoh Eighties
1990-03,TOA PAYOH,3 ROOM,178,TOA PAYOH CTRL,04 TO 06,67,IMPROVED,721,1972,1990,81,48400,67.128987517337,Toa Payoh Central
1990-03,TOA PAYOH,3 ROOM,163,LOR 1 TOA PAYOH,07 TO 09,65,IMPROVED,700,1972,1990,81,40200,57.4285714285714,Toa Payoh Green
1990-03,TOA PAYOH,3 ROOM,174,LOR 1 TOA PAYOH,04 TO 06,65,IMPROVED,700,1972,1990,81,33000,47.1428571428571,Toa Payoh Green
1990-03,TOA PAYOH,3 ROOM,173,LOR 1 TOA PAYOH,10 TO 12,66,IMPROVED,710,1972,1990,81,29000,40.8450704225352,Toa Payoh Green
1990-03,TOA PAYOH,3 ROOM,199,TOA PAYOH NTH,07 TO 09,76,IMPROVED,818,1982,1990,91,46000,56.2347188264059,Toa Payoh Spring
1990-03,TOA PAYOH,3 ROOM,195,KIM KEAT AVE,10 TO 12,66,IMPROVED,710,1973,1990,82,37000,52.112676056338,Kim Keat View
1990-03,TOA PAYOH,3 ROOM,195,KIM KEAT AVE,07 TO 09,66,IMPROVED,710,1973,1990,82,40000,56.3380281690141,Kim Keat View
1990-03,TOA PAYOH,3 ROOM,195,KIM KEAT AVE,07 TO 09,66,IMPROVED,710,1973,1990,82,35200,49.5774647887324,Kim Keat View
1990-03,TOA PAYOH,3 ROOM,195,KIM KEAT AVE,10 TO 12,66,IMPROVED,710,1973,1990,82,40000,56.3380281690141,Kim Keat View
1990-03,TOA PAYOH,3 ROOM,205,TOA PAYOH NTH,04 TO 06,65,IMPROVED,700,1973,1990,82,42200,60.2857142857143,Toa Payoh North
1990-03,TOA PAYOH,3 ROOM,206,TOA PAYOH NTH,04 TO 06,59,IMPROVED,635,1973,1990,82,35000,55.1181102362205,Toa Payoh North
1990-03,TOA PAYOH,3 ROOM,51,LOR 6 TOA PAYOH,07 TO 09,63,STANDARD,678,1983,1990,92,22800,33.6283185840708,East Payoh Palm
1990-03,TOA PAYOH,3 ROOM,57,LOR 5 TOA PAYOH,04 TO 06,61,STANDARD,657,1973,1990,82,27000,41.0958904109589,Toa Payoh Vista
1990-04,TOA PAYOH,3 ROOM,232,LOR 8 TOA PAYOH,10 TO 12,65,IMPROVED,700,1976,1990,85,32000,45.7142857142857,Toa Payoh Eight
1990-04,TOA PAYOH,3 ROOM,115,LOR 1 TOA PAYOH,10 TO 12,65,IMPROVED,700,1967,1990,76,40000,57.1428571428571,Toa Payoh North
1990-04,TOA PAYOH,3 ROOM,113,LOR 1 TOA PAYOH,04 TO 06,65,IMPROVED,700,1967,1990,76,40200,57.4285714285714,Toa Payoh North
1990-04,TOA PAYOH,3 ROOM,107,LOR 1 TOA PAYOH,04 TO 06,67,IMPROVED,721,1970,1990,79,40000,55.4785020804438,Toa Payoh North
1990-04,TOA PAYOH,3 ROOM,108,LOR 1 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh North
1990-04,TOA PAYOH,3 ROOM,109,LOR 1 TOA PAYOH,04 TO 06,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh North
1990-04,TOA PAYOH,3 ROOM,100,LOR 1 TOA PAYOH,01 TO 03,68,IMPROVED,732,1970,1990,79,38500,52.5956284153005,Toa Payoh Palm Spring
1990-04,TOA PAYOH,3 ROOM,100,LOR 1 TOA PAYOH,10 TO 12,68,IMPROVED,732,1970,1990,79,29500,40.3005464480874,Toa Payoh Palm Spring
1990-04,TOA PAYOH,3 ROOM,98,LOR 1 TOA PAYOH,10 TO 12,68,IMPROVED,732,1970,1990,79,29000,39.6174863387978,Toa Payoh Palm Spring
1990-04,TOA PAYOH,3 ROOM,96,LOR 3 TOA PAYOH,07 TO 09,68,IMPROVED,732,1970,1990,79,35000,47.8142076502732,Toa Payoh Palm Spring
1990-04,TOA PAYOH,3 ROOM,2,LOR 7 TOA PAYOH,10 TO 12,67,IMPROVED,721,1969,1990,78,39000,54.0915395284327,Kim Keat Court
1990-04,TOA PAYOH,3 ROOM,1,LOR 7 TOA PAYOH,07 TO 09,67,IMPROVED,721,1969,1990,78,40000,55.4785020804438,Kim Keat Court
1990-04,TOA PAYOH,3 ROOM,124,LOR 1 TOA PAYOH,07 TO 09,67,IMPROVED,721,1970,1990,79,38000,52.7045769764216,Toa Payoh View
1990-04,TOA PAYOH,3 ROOM,116,LOR 2 TOA PAYOH,16 TO 18,63,IMPROVED,678,1970,1990,79,30000,44.2477876106195,Toa Payoh View
1990-04,TOA PAYOH,3 ROOM,116,LOR 2 TOA PAYOH,10 TO 12,63,IMPROVED,678,1970,1990,79,40000,58.9970501474926,Toa Payoh View
1990-04,TOA PAYOH,3 ROOM,30,LOR 5 TOA PAYOH,04 TO 06,60,IMPROVED,646,1970,1990,79,31000,47.9876160990712,None
1990-04,TOA PAYOH,3 ROOM,8,LOR 7 TOA PAYOH,01 TO 03,66,IMPROVED,710,1970,1990,79,40000,56.3380281690141,Toa Payoh Court
1990-04,TOA PAYOH,3 ROOM,18,LOR 7 TOA PAYOH,04 TO 06,67,IMPROVED,721,1970,1990,79,40200,55.7558945908461,Kim Keat Palm
1990-04,TOA PAYOH,3 ROOM,25,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,38000,52.7045769764216,Toa Payoh East
1990-04,TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,04 TO 06,67,IMPROVED,721,1971,1990,80,40200,55.7558945908461,Toa Payoh East
1990-04,TOA PAYOH,3 ROOM,26,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,38500,53.3980582524272,Toa Payoh East
1990-04,TOA PAYOH,3 ROOM,27,TOA PAYOH EAST,04 TO 06,67,IMPROVED,721,1971,1990,80,40000,55.4785020804438,Toa Payoh East
1990-04,TOA PAYOH,3 ROOM,27,TOA PAYOH EAST,07 TO 09,67,IMPROVED,721,1971,1990,80,40200,55.7558945908461,Toa Payoh East
1990-04,TOA PAYOH,3 ROOM,79,TOA PAYOH CTRL,07 TO 09,61,IMPROVED,657,1971,1990,80,40000,60.882800608828,None
1990-04,TOA PAYOH,3 ROOM,79,TOA PAYOH CTRL,07 TO 09,61,IMPROVED,657,1971,1990,80,36000,54.7945205479452,None
1990-04,TOA PAYOH,3 ROOM,157,LOR 1 TOA PAYOH,01 TO 03,67,IMPROVED,721,1971,1990,80,37500,52.0110957004161,Toa Payoh Sapphire
1990-04,TOA PAYOH,3 ROOM,157,LOR 1 TOA PAYOH,10 TO 12,67,IMPROVED,721,1971,1990,80,40000,55.4785020804438,Toa Payoh Sapphire
1990-04,TOA PAYOH,3 ROOM,157,LOR 1 TOA PAYOH,10 TO 12,67,IMPROVED,721,1971,1990,80,32000,44.3828016643551,Toa Payoh Sapphire
1990-04,TOA PAYOH,3 ROOM,85B,LOR 4 TOA PAYOH,16 TO 18,68,IMPROVED,732,1972,1990,81,37000,50.5464480874317,Toa Payoh Eighties
1990-04,TOA PAYOH,3 ROOM,85,LOR 4 TOA PAYOH,01 TO 03,68,IMPROVED,732,1972,1990,81,36500,49.8633879781421,Toa Payoh Eighties
1990-04,TOA PAYOH,3 ROOM,185,TOA PAYOH CTRL,04 TO 06,67,IMPROVED,721,1972,1990,81,35000,48.5436893203884,Toa Payoh Central
1990-04,TOA PAYOH,3 ROOM,163,LOR 1 TOA PAYOH,07 TO 09,65,IMPROVED,700,1972,1990,81,35000,50,Toa Payoh Green
1990-04,TOA PAYOH,3 ROOM,173,LOR 1 TOA PAYOH,04 TO 06,66,IMPROVED,710,1972,1990,81,40000,56.3380281690141,Toa Payoh Green
1990-04,TOA PAYOH,3 ROOM,199,TOA PAYOH NTH,01 TO 03,65,IMPROVED,700,1982,1990,91,40200,57.4285714285714,Toa Payoh Spring
1990-04,TOA PAYOH,3 ROOM,199,TOA PAYOH NTH,04 TO 06,65,IMPROVED,700,1982,1990,91,32000,45.7142857142857,Toa Payoh Spring
1990-04,TOA PAYOH,3 ROOM,199,TOA PAYOH NTH,10 TO 12,65,IMPROVED,700,1982,1990,91,31800,45.4285714285714,Toa Payoh Spring
1990-04,TOA PAYOH,3 ROOM,203,TOA PAYOH NTH,10 TO 12,65,IMPROVED,700,1982,1990,91,40000,57.1428571428571,Toa Payoh Spring
1990-04,TOA PAYOH,3 ROOM,194,KIM KEAT AVE,10 TO 12,66,IMPROVED,710,1973,1990,82,40000,56.3380281690141,Kim Keat View
1990-04,TOA PAYOH,3 ROOM,206,TOA PAYOH NTH,04 TO 06,65,IMPROVED,700,1973,1990,82,40200,57.4285714285714,Toa Payoh North
1990-04,TOA PAYOH,3 ROOM,51,LOR 6 TOA PAYOH,04 TO 06,63,STANDARD,678,1983,1990,92,27500,40.5604719764012,East Payoh Palm
1990-04,TOA PAYOH,3 ROOM,95,LOR 4 TOA PAYOH,01 TO 03,60,STANDARD,646,1967,1990,76,23000,35.6037151702786,Toa Payoh Palm Spring
1990-04,TOA PAYOH,3 ROOM,47,LOR 6 TOA PAYOH,07 TO 09,58,STANDARD,624,1969,1990,78,21000,33.6538461538462,East Payoh Spring
1990-04,TOA PAYOH,3 ROOM,73,LOR 4 TOA PAYOH,07 TO 09,62,STANDARD,667,1973,1990,82,42000,62.9685157421289,Toa Payoh Vista
1990-05,TOA PAYOH,3 ROOM,225,LOR 8 TOA PAYOH,10 TO 12,65,IMPROVED,700,1976,1990,85,40000,57.1428571428571,Toa Payoh Eight
